Identity_Type	Identifier
GeneOrGeneProduct	2147
GeneOrGeneProduct	6279
GeneOrGeneProduct	6280
ChemicalEntity	D010087
ChemicalEntity	C027424
DiseaseOrPhenotypicFeature	D018500
GeneOrGeneProduct	554
GeneOrGeneProduct	359
DiseaseOrPhenotypicFeature	D003967
SequenceVariant	c|SUB|C|283|T
SequenceVariant	p|SUB|P|95|S
SequenceVariant	p|SUB|P||S
ChemicalEntity	D006852
DiseaseOrPhenotypicFeature	D000077216
ChemicalEntity	D005708
GeneOrGeneProduct	4939
GeneOrGeneProduct	91543
DiseaseOrPhenotypicFeature	D019958
ChemicalEntity	D000661
GeneOrGeneProduct	211323
DiseaseOrPhenotypicFeature	D001321
GeneOrGeneProduct	940
DiseaseOrPhenotypicFeature	D016403
DiseaseOrPhenotypicFeature	D008231
DiseaseOrPhenotypicFeature	C565427
GeneOrGeneProduct	3458
GeneOrGeneProduct	6271
GeneOrGeneProduct	799
GeneOrGeneProduct	595
ChemicalEntity	D010672
DiseaseOrPhenotypicFeature	D017719
DiseaseOrPhenotypicFeature	D016523
DiseaseOrPhenotypicFeature	D010019
ChemicalEntity	D011092
ChemicalEntity	D000244
DiseaseOrPhenotypicFeature	D055008
ChemicalEntity	D011791
ChemicalEntity	D007616
ChemicalEntity	D001546
ChemicalEntity	C005975
GeneOrGeneProduct	5468
GeneOrGeneProduct	10062
GeneOrGeneProduct	19
CellLine	CVCL_0006
ChemicalEntity	C011049
GeneOrGeneProduct	10011
GeneOrGeneProduct	4973
GeneOrGeneProduct	9619
GeneOrGeneProduct	3383
GeneOrGeneProduct	7412
GeneOrGeneProduct	20454
GeneOrGeneProduct	21812
CellLine	CVCL_0075
GeneOrGeneProduct	22234
ChemicalEntity	D020156
ChemicalEntity	D060406
ChemicalEntity	C000591191
OrganismTaxon	681774
GeneOrGeneProduct	4512
GeneOrGeneProduct	4513
ChemicalEntity	D024508
ChemicalEntity	C013649
ChemicalEntity	C082032
ChemicalEntity	C082097
ChemicalEntity	D024502
ChemicalEntity	D012256
ChemicalEntity	D007783
ChemicalEntity	D000584
ChemicalEntity	D003907
OrganismTaxon	9031
ChemicalEntity	D008078
ChemicalEntity	D013864
GeneOrGeneProduct	16913
GeneOrGeneProduct	19171
GeneOrGeneProduct	19013
DiseaseOrPhenotypicFeature	D006937
GeneOrGeneProduct	2678
ChemicalEntity	C082097
GeneOrGeneProduct	3592
GeneOrGeneProduct	7057
DiseaseOrPhenotypicFeature	D003930
DiseaseOrPhenotypicFeature	D012173
SequenceVariant	rs13329154
SequenceVariant	rs34973764
SequenceVariant	rs5812091
SequenceVariant	rs11070177
SequenceVariant	rs1847663
DiseaseOrPhenotypicFeature	D001997
GeneOrGeneProduct	91782
GeneOrGeneProduct	58484
GeneOrGeneProduct	55655
GeneOrGeneProduct	171389
GeneOrGeneProduct	338321
GeneOrGeneProduct	55294
DiseaseOrPhenotypicFeature	D054198
GeneOrGeneProduct	4851
DiseaseOrPhenotypicFeature	D000856
DiseaseOrPhenotypicFeature	D007418
OrganismTaxon	1748418
ChemicalEntity	D001710
OrganismTaxon	28896
ChemicalEntity	C036909
ChemicalEntity	C025193
ChemicalEntity	D011422
ChemicalEntity	D012436
ChemicalEntity	C009061
ChemicalEntity	C012046
ChemicalEntity	D014238
GeneOrGeneProduct	163
SequenceVariant	rs1799752
SequenceVariant	rs73635825
SequenceVariant	rs12329760
GeneOrGeneProduct	3558
GeneOrGeneProduct	3497
DiseaseOrPhenotypicFeature	D065631
DiseaseOrPhenotypicFeature	D001249
OrganismTaxon	727
OrganismTaxon	480
GeneOrGeneProduct	3567
GeneOrGeneProduct	3596
DiseaseOrPhenotypicFeature	D012220
GeneOrGeneProduct	57332
GeneOrGeneProduct	7040
GeneOrGeneProduct	6347
GeneOrGeneProduct	6351
GeneOrGeneProduct	6352
GeneOrGeneProduct	1234
GeneOrGeneProduct	729230
GeneOrGeneProduct	1236
GeneOrGeneProduct	969
ChemicalEntity	C024865
ChemicalEntity	C030583
ChemicalEntity	D013232
GeneOrGeneProduct	847
ChemicalEntity	C075750
GeneOrGeneProduct	4968
ChemicalEntity	D008054
GeneOrGeneProduct	5599
GeneOrGeneProduct	5601
GeneOrGeneProduct	3725
GeneOrGeneProduct	2353
DiseaseOrPhenotypicFeature	D016893
DiseaseOrPhenotypicFeature	D003773
ChemicalEntity	D009570
ChemicalEntity	C000723311
ChemicalEntity	D007659
ChemicalEntity	D013481
ChemicalEntity	D005973
DiseaseOrPhenotypicFeature	D008228
GeneOrGeneProduct	4255
DiseaseOrPhenotypicFeature	D000740
DiseaseOrPhenotypicFeature	D006453
DiseaseOrPhenotypicFeature	D015433
DiseaseOrPhenotypicFeature	D000742
DiseaseOrPhenotypicFeature	D000744
DiseaseOrPhenotypicFeature	D006457
DiseaseOrPhenotypicFeature	D000741
ChemicalEntity	C000634504
DiseaseOrPhenotypicFeature	D017086
DiseaseOrPhenotypicFeature	C564858
DiseaseOrPhenotypicFeature	D019190
DiseaseOrPhenotypicFeature	D013224
DiseaseOrPhenotypicFeature	D000755
ChemicalEntity	D000069283
ChemicalEntity	C000656179
ChemicalEntity	C000599209
ChemicalEntity	C000716074
ChemicalEntity	C000634098
DiseaseOrPhenotypicFeature	D006461
ChemicalEntity	C523665
GeneOrGeneProduct	2217
ChemicalEntity	C481642
ChemicalEntity	C000629409
ChemicalEntity	C000718467
ChemicalEntity	C520809
GeneOrGeneProduct	18996
DiseaseOrPhenotypicFeature	D059265
GeneOrGeneProduct	14281
GeneOrGeneProduct	18736
GeneOrGeneProduct	20517
DiseaseOrPhenotypicFeature	D059226
GeneOrGeneProduct	2623
GeneOrGeneProduct	861
GeneOrGeneProduct	28
SequenceVariant	c|INS|15_16|TGTTG
ChemicalEntity	D000464
ChemicalEntity	D011137
ChemicalEntity	C582435
GeneOrGeneProduct	6794
GeneOrGeneProduct	9817
GeneOrGeneProduct	5329
DiseaseOrPhenotypicFeature	D001778
DiseaseOrPhenotypicFeature	D003327
SequenceVariant	rs399145
SequenceVariant	rs4760
SequenceVariant	p|SUB|F|272|L
SequenceVariant	rs73935023
SequenceVariant	rs4251805
GeneOrGeneProduct	2688
GeneOrGeneProduct	2186
DiseaseOrPhenotypicFeature	OMIM:617452
DiseaseOrPhenotypicFeature	D004194
DiseaseOrPhenotypicFeature	D002658
DiseaseOrPhenotypicFeature	D007805
DiseaseOrPhenotypicFeature	D008831
SequenceVariant	c|SUB|G|1133|A
SequenceVariant	c|DEL|5941|C
ChemicalEntity	C033158
ChemicalEntity	C030242
ChemicalEntity	C029943
GeneOrGeneProduct	10413
GeneOrGeneProduct	5747
GeneOrGeneProduct	387
ChemicalEntity	D015780
ChemicalEntity	D000078142
ChemicalEntity	D010878
OrganismTaxon	1280
GeneOrGeneProduct	6901
GeneOrGeneProduct	100505994
SequenceVariant	rs6800484
GeneOrGeneProduct	25325
GeneOrGeneProduct	65129
GeneOrGeneProduct	300920
GeneOrGeneProduct	304407
GeneOrGeneProduct	83497
GeneOrGeneProduct	3695
GeneOrGeneProduct	941
DiseaseOrPhenotypicFeature	D009190
GeneOrGeneProduct	1437
ChemicalEntity	D000527
DiseaseOrPhenotypicFeature	D012817
DiseaseOrPhenotypicFeature	D014839
ChemicalEntity	C000606551
GeneOrGeneProduct	27134
ChemicalEntity	C558899
ChemicalEntity	D000068577
GeneOrGeneProduct	20191
GeneOrGeneProduct	6262
ChemicalEntity	D002118
ChemicalEntity	D002413
DiseaseOrPhenotypicFeature	C536334
GeneOrGeneProduct	6262
GeneOrGeneProduct	4843
ChemicalEntity	D019331
ChemicalEntity	D015232
GeneOrGeneProduct	20191
SequenceVariant	p|SUB|R|4496|C
DiseaseOrPhenotypicFeature	D017180
OrganismTaxon	881260
OrganismTaxon	550
OrganismTaxon	1196793
ChemicalEntity	D005839
ChemicalEntity	D007612
ChemicalEntity	D009643
ChemicalEntity	D002701
ChemicalEntity	D004917
ChemicalEntity	D002444
ChemicalEntity	D002438
ChemicalEntity	D000583
ChemicalEntity	D013307
ChemicalEntity	D064704
ChemicalEntity	C035534
ChemicalEntity	D015662
ChemicalEntity	D017963
ChemicalEntity	D008034
ChemicalEntity	D002981
ChemicalEntity	D000617
ChemicalEntity	D055231
GeneOrGeneProduct	3551
DiseaseOrPhenotypicFeature	D018192
GeneOrGeneProduct	4060
GeneOrGeneProduct	4904
DiseaseOrPhenotypicFeature	D000086002
GeneOrGeneProduct	3934
GeneOrGeneProduct	406973
SequenceVariant	rs11614913
GeneOrGeneProduct	23405
GeneOrGeneProduct	10671
DiseaseOrPhenotypicFeature	D058226
DiseaseOrPhenotypicFeature	D003323
ChemicalEntity	D012826
ChemicalEntity	D012828
DiseaseOrPhenotypicFeature	D008105
DiseaseOrPhenotypicFeature	D019693
ChemicalEntity	D013402
ChemicalEntity	D002635
ChemicalEntity	D008095
ChemicalEntity	D013658
ChemicalEntity	D005999
ChemicalEntity	D013657
OrganismTaxon	16719
ChemicalEntity	C024758
ChemicalEntity	D017942
GeneOrGeneProduct	26121
DiseaseOrPhenotypicFeature	D012174
GeneOrGeneProduct	29844
GeneOrGeneProduct	126014
GeneOrGeneProduct	4696
GeneOrGeneProduct	441864
GeneOrGeneProduct	284415
GeneOrGeneProduct	4323
GeneOrGeneProduct	4317
GeneOrGeneProduct	4322
DiseaseOrPhenotypicFeature	D000647
DiseaseOrPhenotypicFeature	C000719212
ChemicalEntity	D008874
ChemicalEntity	D002586
GeneOrGeneProduct	24410
ChemicalEntity	C010739
GeneOrGeneProduct	56339
GeneOrGeneProduct	57721
GeneOrGeneProduct	9589
GeneOrGeneProduct	56339
GeneOrGeneProduct	57721
SequenceVariant	rs2399971
GeneOrGeneProduct	100505566
DiseaseOrPhenotypicFeature	D006509
DiseaseOrPhenotypicFeature	D018382
GeneOrGeneProduct	7068
SequenceVariant	rs1553609090
DiseaseOrPhenotypicFeature	D006044
SequenceVariant	rs121918693
ChemicalEntity	D013963
DiseaseOrPhenotypicFeature	D000236
DiseaseOrPhenotypicFeature	D010282
DiseaseOrPhenotypicFeature	D049950
GeneOrGeneProduct	8754
GeneOrGeneProduct	3187
GeneOrGeneProduct	8028
SequenceVariant	c|SUB|A|2|A
GeneOrGeneProduct	25369
OrganismTaxon	5693
DiseaseOrPhenotypicFeature	D014355
ChemicalEntity	C009999
ChemicalEntity	D009547
CellLine	CVCL_0059
DiseaseOrPhenotypicFeature	D012120
GeneOrGeneProduct	284
GeneOrGeneProduct	285
GeneOrGeneProduct	51378
GeneOrGeneProduct	27329
GeneOrGeneProduct	9361
DiseaseOrPhenotypicFeature	C538525
ChemicalEntity	D006418
SequenceVariant	rs777744277
DiseaseOrPhenotypicFeature	D054082
GeneOrGeneProduct	7019
GeneOrGeneProduct	65018
GeneOrGeneProduct	65080
GeneOrGeneProduct	65003
ChemicalEntity	C062765
ChemicalEntity	C111827
ChemicalEntity	D000086
ChemicalEntity	C456780
GeneOrGeneProduct	695
GeneOrGeneProduct	8161
DiseaseOrPhenotypicFeature	D000077195
GeneOrGeneProduct	183
ChemicalEntity	D000450
DiseaseOrPhenotypicFeature	D007008
GeneOrGeneProduct	338
GeneOrGeneProduct	5860714
OrganismTaxon	76773
SequenceVariant	p|SUB|Q|34|P
SequenceVariant	p|SUB|A|37|P
SequenceVariant	p|SUB|M|176|V
SequenceVariant	rs756784071
SequenceVariant	p|SUB|M|294|R
SequenceVariant	c|SUB|G|28|C
SequenceVariant	p|SUB|P|206|C
DiseaseOrPhenotypicFeature	D044342
DiseaseOrPhenotypicFeature	D015658
DiseaseOrPhenotypicFeature	D020275
DiseaseOrPhenotypicFeature	D006521
DiseaseOrPhenotypicFeature	D002779
DiseaseOrPhenotypicFeature	D017114
ChemicalEntity	D020959
DiseaseOrPhenotypicFeature	D000093284
ChemicalEntity	D016590
GeneOrGeneProduct	3976
GeneOrGeneProduct	16878
GeneOrGeneProduct	10628
DiseaseOrPhenotypicFeature	D055371
GeneOrGeneProduct	216799
ChemicalEntity	D000067616
GeneOrGeneProduct	56338
GeneOrGeneProduct	4360
ChemicalEntity	C586094
ChemicalEntity	C585405
ChemicalEntity	C588260
ChemicalEntity	C585405
ChemicalEntity	C586094
ChemicalEntity	D019438
DiseaseOrPhenotypicFeature	D005221
GeneOrGeneProduct	76527
CellLine	CVCL_0139
ChemicalEntity	C410885
CellLine	CVCL_EQ22
GeneOrGeneProduct	12550
GeneOrGeneProduct	22352
GeneOrGeneProduct	12558
GeneOrGeneProduct	7448
GeneOrGeneProduct	15978
GeneOrGeneProduct	16191
GeneOrGeneProduct	16153
ChemicalEntity	D002110
GeneOrGeneProduct	29184
ChemicalEntity	D006003
GeneOrGeneProduct	83516
ChemicalEntity	C524865
ChemicalEntity	D004952
ChemicalEntity	D011719
CellLine	CVCL_0014
CellLine	CVCL_0598
ChemicalEntity	C071349
ChemicalEntity	C572723
ChemicalEntity	C000615411
ChemicalEntity	D001386
CellLine	CVCL_0179
GeneOrGeneProduct	5290
GeneOrGeneProduct	2346
ChemicalEntity	C000615430
GeneOrGeneProduct	50868
ChemicalEntity	D011765
GeneOrGeneProduct	4780
GeneOrGeneProduct	3162
CellLine	CVCL_5374
ChemicalEntity	C017125
ChemicalEntity	D000965
OrganismTaxon	28909
OrganismTaxon	83905
OrganismTaxon	13821
OrganismTaxon	122292
ChemicalEntity	D013431
GeneOrGeneProduct	348
ChemicalEntity	C581552
ChemicalEntity	C002471
GeneOrGeneProduct	1442
GeneOrGeneProduct	17395
CellLine	CVCL_0062
GeneOrGeneProduct	215303
GeneOrGeneProduct	14815
ChemicalEntity	C570240
GeneOrGeneProduct	64522
GeneOrGeneProduct	25419
DiseaseOrPhenotypicFeature	D004620
ChemicalEntity	D020155
DiseaseOrPhenotypicFeature	D005218
DiseaseOrPhenotypicFeature	C538175
DiseaseOrPhenotypicFeature	D006261
ChemicalEntity	D000068180
ChemicalEntity	D012825
GeneOrGeneProduct	335
GeneOrGeneProduct	57338
GeneOrGeneProduct	5444
GeneOrGeneProduct	53369
OrganismTaxon	9823
ChemicalEntity	C118616
ChemicalEntity	D007052
GeneOrGeneProduct	397086
GeneOrGeneProduct	396880
GeneOrGeneProduct	399500
GeneOrGeneProduct	7035
DiseaseOrPhenotypicFeature	D003586
ChemicalEntity	D015774
ChemicalEntity	D000077562
ChemicalEntity	C000588473
ChemicalEntity	C400401
OrganismTaxon	11908
GeneOrGeneProduct	1491934
ChemicalEntity	D019269
ChemicalEntity	D007295
ChemicalEntity	D010718
SequenceVariant	c|SUB|G|2|A
DiseaseOrPhenotypicFeature	D051359
DiseaseOrPhenotypicFeature	D009358
DiseaseOrPhenotypicFeature	D016878
DiseaseOrPhenotypicFeature	D006402
DiseaseOrPhenotypicFeature	D000085583
DiseaseOrPhenotypicFeature	D015228
DiseaseOrPhenotypicFeature	D000347
DiseaseOrPhenotypicFeature	D008218
DiseaseOrPhenotypicFeature	D007964
DiseaseOrPhenotypicFeature	C563010
ChemicalEntity	D009638
DiseaseOrPhenotypicFeature	D012772
ChemicalEntity	D004837
DiseaseOrPhenotypicFeature	D007022
ChemicalEntity	D036381
GeneOrGeneProduct	8743
DiseaseOrPhenotypicFeature	D007680
GeneOrGeneProduct	4318
ChemicalEntity	D003474
CellLine	CVCL_1067
GeneOrGeneProduct	5265
GeneOrGeneProduct	1356
GeneOrGeneProduct	3263
DiseaseOrPhenotypicFeature	D014808
DiseaseOrPhenotypicFeature	D016638
DiseaseOrPhenotypicFeature	D045169
DiseaseOrPhenotypicFeature	D007003
ChemicalEntity	D013453
ChemicalEntity	D005913
ChemicalEntity	D005905
ChemicalEntity	C072379
ChemicalEntity	C057619
ChemicalEntity	D000077715
GeneOrGeneProduct	4246
ChemicalEntity	D008274
ChemicalEntity	D000073878
ChemicalEntity	D014810
DiseaseOrPhenotypicFeature	C564971
DiseaseOrPhenotypicFeature	D012183
GeneOrGeneProduct	7402
GeneOrGeneProduct	5071
ChemicalEntity	C026423
ChemicalEntity	C010531
ChemicalEntity	C003677
GeneOrGeneProduct	11820
ChemicalEntity	D000077185
ChemicalEntity	D013095
ChemicalEntity	C521270
DiseaseOrPhenotypicFeature	D008579
GeneOrGeneProduct	4771
GeneOrGeneProduct	84231
GeneOrGeneProduct	9314
GeneOrGeneProduct	6608
GeneOrGeneProduct	5430
DiseaseOrPhenotypicFeature	D017449
DiseaseOrPhenotypicFeature	D006201
DiseaseOrPhenotypicFeature	D003877
ChemicalEntity	D003543
ChemicalEntity	C031389
ChemicalEntity	C472036
GeneOrGeneProduct	6275
GeneOrGeneProduct	5595
GeneOrGeneProduct	5594
ChemicalEntity	C018855
OrganismTaxon	12059
OrganismTaxon	694013
OrganismTaxon	10508
OrganismTaxon	136217
OrganismTaxon	94328
OrganismTaxon	4682
OrganismTaxon	4679
GeneOrGeneProduct	57798
GeneOrGeneProduct	23524
CellLine	CVCL_6308
GeneOrGeneProduct	125488
GeneOrGeneProduct	942
DiseaseOrPhenotypicFeature	D006947
DiseaseOrPhenotypicFeature	D014524
OrganismTaxon	9685
ChemicalEntity	D011188
GeneOrGeneProduct	493804
DiseaseOrPhenotypicFeature	C000721848
GeneOrGeneProduct	4552
GeneOrGeneProduct	4524
SequenceVariant	rs1801394
SequenceVariant	rs3737966
SequenceVariant	rs4846049
SequenceVariant	rs1476413
SequenceVariant	rs1801131
SequenceVariant	rs12121543
SequenceVariant	rs1801133
SequenceVariant	rs4846052
SequenceVariant	rs2066471
SequenceVariant	rs7533315
SequenceVariant	rs3776467
SequenceVariant	rs326124
SequenceVariant	rs162040
SequenceVariant	rs3776455
GeneOrGeneProduct	6524
DiseaseOrPhenotypicFeature	D016883
GeneOrGeneProduct	1277
GeneOrGeneProduct	1290
GeneOrGeneProduct	4321
GeneOrGeneProduct	5054
GeneOrGeneProduct	1462
ChemicalEntity	D004642
ChemicalEntity	C015499
ChemicalEntity	C540010
ChemicalEntity	C000520
ChemicalEntity	D007454
ChemicalEntity	D007452
ChemicalEntity	C038619
ChemicalEntity	C077842
ChemicalEntity	C010504
ChemicalEntity	C029773
ChemicalEntity	C053434
DiseaseOrPhenotypicFeature	D013120
DiseaseOrPhenotypicFeature	C535531
DiseaseOrPhenotypicFeature	D012585
DiseaseOrPhenotypicFeature	D002972
CellLine	CVCL_0470
GeneOrGeneProduct	11423
ChemicalEntity	D012601
GeneOrGeneProduct	24914
ChemicalEntity	D013265
ChemicalEntity	D000094062
ChemicalEntity	D003374
ChemicalEntity	D012603
GeneOrGeneProduct	387755
DiseaseOrPhenotypicFeature	D003110
DiseaseOrPhenotypicFeature	D018792
ChemicalEntity	D012834
GeneOrGeneProduct	43740575
DiseaseOrPhenotypicFeature	D003141
GeneOrGeneProduct	51284
GeneOrGeneProduct	51311
GeneOrGeneProduct	51284
GeneOrGeneProduct	51311
ChemicalEntity	D000077276
DiseaseOrPhenotypicFeature	D001847
ChemicalEntity	D005938
DiseaseOrPhenotypicFeature	D058866
ChemicalEntity	D000077330
ChemicalEntity	D019386
GeneOrGeneProduct	367218
GeneOrGeneProduct	64566
GeneOrGeneProduct	84353
GeneOrGeneProduct	109305
GeneOrGeneProduct	21943
GeneOrGeneProduct	11433
GeneOrGeneProduct	5829
GeneOrGeneProduct	51493
ChemicalEntity	C005358
DiseaseOrPhenotypicFeature	D019969
ChemicalEntity	D008691
ChemicalEntity	D000662
GeneOrGeneProduct	2563
ChemicalEntity	D003932
SequenceVariant	rs2889475
SequenceVariant	rs2376805
SequenceVariant	c|SUB|C||T
SequenceVariant	c|SUB|G||A
OrganismTaxon	10376
DiseaseOrPhenotypicFeature	D002051
DiseaseOrPhenotypicFeature	D008223
GeneOrGeneProduct	3783750
GeneOrGeneProduct	8837
GeneOrGeneProduct	10538
GeneOrGeneProduct	3662
GeneOrGeneProduct	10018
GeneOrGeneProduct	3660
GeneOrGeneProduct	639
ChemicalEntity	C000719760
GeneOrGeneProduct	19247
GeneOrGeneProduct	5781
GeneOrGeneProduct	56154
GeneOrGeneProduct	55124
GeneOrGeneProduct	143689
GeneOrGeneProduct	16001
GeneOrGeneProduct	16337
GeneOrGeneProduct	16000
ChemicalEntity	D000872
ChemicalEntity	D014641
ChemicalEntity	D014364
ChemicalEntity	D002087
GeneOrGeneProduct	8030
GeneOrGeneProduct	59086
GeneOrGeneProduct	24329
GeneOrGeneProduct	50689
GeneOrGeneProduct	116590
GeneOrGeneProduct	116554
GeneOrGeneProduct	81649
GeneOrGeneProduct	24185
GeneOrGeneProduct	116590
GeneOrGeneProduct	51561
DiseaseOrPhenotypicFeature	D009181
GeneOrGeneProduct	64581
ChemicalEntity	C027576
OrganismTaxon	1535326
GeneOrGeneProduct	7048
ChemicalEntity	C104450
GeneOrGeneProduct	2638
DiseaseOrPhenotypicFeature	D013851
OrganismTaxon	184140
ChemicalEntity	D024341
ChemicalEntity	D024505
ChemicalEntity	C017616
ChemicalEntity	D044948
ChemicalEntity	C040015
GeneOrGeneProduct	4781
SequenceVariant	rs2472297
SequenceVariant	rs28379954
SequenceVariant	c|SUB|T||C
ChemicalEntity	D003903
DiseaseOrPhenotypicFeature	D007683
ChemicalEntity	C116917
GeneOrGeneProduct	1376
GeneOrGeneProduct	33
GeneOrGeneProduct	1374
ChemicalEntity	D011345
GeneOrGeneProduct	43740578
SequenceVariant	c|Allele|C|67
SequenceVariant	c|Allele|A|79
SequenceVariant	c|SUB|C|67|A
ChemicalEntity	D014498
ChemicalEntity	D011189
SequenceVariant	c|SUB|A|79|G
GeneOrGeneProduct	12325
GeneOrGeneProduct	12753
GeneOrGeneProduct	11865
GeneOrGeneProduct	7100
ChemicalEntity	D002569
GeneOrGeneProduct	2744
GeneOrGeneProduct	3099
ChemicalEntity	D003847
ChemicalEntity	D009840
ChemicalEntity	D000968
DiseaseOrPhenotypicFeature	C538234
DiseaseOrPhenotypicFeature	D012257
DiseaseOrPhenotypicFeature	C537111
DiseaseOrPhenotypicFeature	D009901
DiseaseOrPhenotypicFeature	C537197
GeneOrGeneProduct	113278
GeneOrGeneProduct	79581
SequenceVariant	rs782192446
SequenceVariant	rs368924997
GeneOrGeneProduct	6514
DiseaseOrPhenotypicFeature	D014786
DiseaseOrPhenotypicFeature	D009896
DiseaseOrPhenotypicFeature	D001259
GeneOrGeneProduct	270
DiseaseOrPhenotypicFeature	D006312
DiseaseOrPhenotypicFeature	D034381
DiseaseOrPhenotypicFeature	D003638
GeneOrGeneProduct	2706
GeneOrGeneProduct	161497
GeneOrGeneProduct	5172
DiseaseOrPhenotypicFeature	D052245
GeneOrGeneProduct	23049
DiseaseOrPhenotypicFeature	D009196
OrganismTaxon	272047
ChemicalEntity	D011687
GeneOrGeneProduct	5471
GeneOrGeneProduct	3614
ChemicalEntity	D019271
ChemicalEntity	D019820
GeneOrGeneProduct	5198
GeneOrGeneProduct	471
GeneOrGeneProduct	3615
CellLine	CVCL_6908
GeneOrGeneProduct	6696
GeneOrGeneProduct	19126
GeneOrGeneProduct	60533
DiseaseOrPhenotypicFeature	D007410
GeneOrGeneProduct	6506
SequenceVariant	rs4354668
GeneOrGeneProduct	6536
SequenceVariant	rs2486001
GeneOrGeneProduct	9152
SequenceVariant	rs2000959
DiseaseOrPhenotypicFeature	D000275
DiseaseOrPhenotypicFeature	D000094724
DiseaseOrPhenotypicFeature	D001201
GeneOrGeneProduct	1855
ChemicalEntity	D015725
ChemicalEntity	C037178
GeneOrGeneProduct	5007
GeneOrGeneProduct	22908
ChemicalEntity	C474170
OrganismTaxon	195
SequenceVariant	p|SUB|T|86|I
ChemicalEntity	D000077727
DiseaseOrPhenotypicFeature	D002869
ChemicalEntity	C548400
ChemicalEntity	D000077269
OrganismTaxon	445
DiseaseOrPhenotypicFeature	D000077299
DiseaseOrPhenotypicFeature	D007877
DiseaseOrPhenotypicFeature	D023341
DiseaseOrPhenotypicFeature	D000007
DiseaseOrPhenotypicFeature	D006965
DiseaseOrPhenotypicFeature	D003537
DiseaseOrPhenotypicFeature	D002764
DiseaseOrPhenotypicFeature	D005706
ChemicalEntity	D000077266
DiseaseOrPhenotypicFeature	D012818
ChemicalEntity	D000078304
ChemicalEntity	C109691
ChemicalEntity	C031512
ChemicalEntity	D006838
ChemicalEntity	D000447
ChemicalEntity	C509968
ChemicalEntity	D010636
ChemicalEntity	D005663
GeneOrGeneProduct	51143
GeneOrGeneProduct	23299
GeneOrGeneProduct	84766
GeneOrGeneProduct	84376
DiseaseOrPhenotypicFeature	D009157
DiseaseOrPhenotypicFeature	C563475
DiseaseOrPhenotypicFeature	D020246
DiseaseOrPhenotypicFeature	D003424
ChemicalEntity	C520399
OrganismTaxon	1301
ChemicalEntity	C023336
ChemicalEntity	D058610
ChemicalEntity	C004821
DiseaseOrPhenotypicFeature	D004066
GeneOrGeneProduct	3691
GeneOrGeneProduct	79923
GeneOrGeneProduct	296345
GeneOrGeneProduct	689560
DiseaseOrPhenotypicFeature	D017379
GeneOrGeneProduct	51582
SequenceVariant	p|SUB|S|367|G
GeneOrGeneProduct	59
GeneOrGeneProduct	71
GeneOrGeneProduct	4627
DiseaseOrPhenotypicFeature	D002471
GeneOrGeneProduct	285943
GeneOrGeneProduct	27131
DiseaseOrPhenotypicFeature	D006258
ChemicalEntity	C493484
OrganismTaxon	4113
GeneOrGeneProduct	102586476
GeneOrGeneProduct	102577773
GeneOrGeneProduct	102577694
ChemicalEntity	C002502
GeneOrGeneProduct	4089
DiseaseOrPhenotypicFeature	D000069337
GeneOrGeneProduct	7342
GeneOrGeneProduct	4855
CellLine	CVCL_WX70
GeneOrGeneProduct	353008
GeneOrGeneProduct	57142
GeneOrGeneProduct	2316
GeneOrGeneProduct	23677
GeneOrGeneProduct	23549
GeneOrGeneProduct	2114
GeneOrGeneProduct	85377
GeneOrGeneProduct	26585
GeneOrGeneProduct	624
GeneOrGeneProduct	81848
GeneOrGeneProduct	54206
GeneOrGeneProduct	7052
GeneOrGeneProduct	2243
GeneOrGeneProduct	2244
DiseaseOrPhenotypicFeature	D014496
DiseaseOrPhenotypicFeature	D006395
ChemicalEntity	D005989
GeneOrGeneProduct	20423
GeneOrGeneProduct	19206
GeneOrGeneProduct	16002
GeneOrGeneProduct	778
DiseaseOrPhenotypicFeature	C564717
DiseaseOrPhenotypicFeature	D057130
DiseaseOrPhenotypicFeature	D052919
SequenceVariant	c|SUB|A|3847-2|G
CellLine	CVCL_VQ81
DiseaseOrPhenotypicFeature	C562463
DiseaseOrPhenotypicFeature	D012008
GeneOrGeneProduct	23522
GeneOrGeneProduct	2290
GeneOrGeneProduct	2898
ChemicalEntity	D005472
ChemicalEntity	D000077146
ChemicalEntity	D000069347
ChemicalEntity	C000627770
ChemicalEntity	C531550
DiseaseOrPhenotypicFeature	D053560
DiseaseOrPhenotypicFeature	D043183
DiseaseOrPhenotypicFeature	D012778
GeneOrGeneProduct	79246
ChemicalEntity	C071315
GeneOrGeneProduct	24848
ChemicalEntity	C020722
ChemicalEntity	C402769
DiseaseOrPhenotypicFeature	D005076
DiseaseOrPhenotypicFeature	D000855
GeneOrGeneProduct	3265
OrganismTaxon	50141
ChemicalEntity	D002725
ChemicalEntity	D020001
ChemicalEntity	D000496
ChemicalEntity	D002351
DiseaseOrPhenotypicFeature	C536897
ChemicalEntity	C110309
GeneOrGeneProduct	81844
GeneOrGeneProduct	329
SequenceVariant	rs2275913
SequenceVariant	rs3748067
SequenceVariant	rs8193036
SequenceVariant	rs3819024
GeneOrGeneProduct	112744
SequenceVariant	rs7741835
SequenceVariant	rs763780
GeneOrGeneProduct	59067
SequenceVariant	rs907715
SequenceVariant	rs2055979
GeneOrGeneProduct	149233
SequenceVariant	rs11805303
SequenceVariant	rs7518660
DiseaseOrPhenotypicFeature	D007019
